Date,Home Team,Away Team,xG_home,xG_away,DEEP_home,DEEP_away,PPDA_home,PPDA_away,xPTS_home,xPTS_away
Dec 12 2014,Hoffenheim,Eintracht Frankfurt,3.33,2.43,10,12,6.19,5.79,1.99,0.81
Dec 13 2014,Hertha Berlin,Borussia Dortmund,0.76,0.84,2,8,27.73,4.68,1.25,1.39
Dec 13 2014,Werder Bremen,Hannover 96,1.85,1.54,7,5,8.38,6.12,1.60,1.14
Dec 13 2014,Augsburg,Bayern Munich,0.29,2.22,0,13,14.91,5.65,0.20,2.67
Dec 13 2014,Schalke 04,FC Cologne,1.21,1.14,8,2,9.82,31.54,1.34,1.30
Dec 13 2014,Freiburg,Hamburger SV,1.46,0.52,7,4,7.56,7.44,2.26,0.51
Dec 13 2014,Mainz 05,VfB Stuttgart,1.35,0.55,4,1,4.24,9.00,2.03,0.69
Dec 14 2014,Bayer Leverkusen,Borussia M.Gladbach,1.01,1.16,13,2,6.45,12.16,1.19,1.50
Dec 14 2014,Wolfsburg,Paderborn,3.22,1.00,7,2,3.94,10.37,2.78,0.14
Dec 16 2014,Hannover 96,Augsburg,1.34,0.69,6,0,8.64,7.38,1.98,0.72
Dec 16 2014,Hamburger SV,VfB Stuttgart,0.44,1.36,8,9,5.16,12.50,0.56,2.18
Dec 16 2014,FC Cologne,Mainz 05,0.54,0.48,2,3,9.30,14.79,1.38,1.16
Dec 16 2014,Bayern Munich,Freiburg,2.98,0.05,32,1,3.85,91.80,2.98,0.01
Dec 17 2014,Eintracht Frankfurt,Hertha Berlin,2.74,2.05,11,1,2.24,11.47,1.83,0.95
Dec 17 2014,Borussia Dortmund,Wolfsburg,1.30,1.39,7,8,11.91,6.81,1.30,1.42
Dec 17 2014,Borussia M.Gladbach,Werder Bremen,2.07,0.31,8,7,9.38,20.05,2.76,0.15
Dec 17 2014,Hoffenheim,Bayer Leverkusen,0.44,2.18,4,13,4.33,3.93,0.25,2.63
Dec 17 2014,Paderborn,Schalke 04,1.41,1.15,11,3,7.07,8.04,1.57,1.15
Dec 19 2014,Mainz 05,Bayern Munich,0.49,0.83,1,7,18.91,4.21,0.98,1.63
Dec 20 2014,Augsburg,Borussia M.Gladbach,1.66,2.18,7,11,15.85,13.52,0.97,1.78
Dec 20 2014,Werder Bremen,Borussia Dortmund,2.37,0.60,6,7,13.21,4.90,2.57,0.29
Dec 20 2014,Schalke 04,Hamburger SV,1.53,1.37,2,2,7.34,11.65,1.47,1.26
Dec 20 2014,Bayer Leverkusen,Eintracht Frankfurt,0.86,1.46,6,4,3.86,5.89,0.80,1.92
Dec 20 2014,VfB Stuttgart,Paderborn,0.77,0.93,2,4,9.81,4.03,1.20,1.45
Dec 20 2014,Wolfsburg,FC Cologne,0.53,0.40,5,3,7.68,17.54,1.40,1.11
Dec 21 2014,Hertha Berlin,Hoffenheim,0.71,3.63,6,7,6.73,4.87,0.04,2.94
Dec 21 2014,Freiburg,Hannover 96,1.29,1.52,4,10,9.55,5.56,1.22,1.51
Jan 30 2015,Wolfsburg,Bayern Munich,2.18,1.92,3,12,13.80,4.88,1.58,1.17
Jan 31 2015,Mainz 05,Paderborn,2.88,0.72,7,4,8.00,8.48,2.69,0.21
Jan 31 2015,Freiburg,Eintracht Frankfurt,3.19,1.12,12,10,11.19,6.21,2.69,0.21
Jan 31 2015,VfB Stuttgart,Borussia M.Gladbach,1.61,1.27,6,7,16.75,15.50,1.67,1.04
Jan 31 2015,Hamburger SV,FC Cologne,0.60,1.16,5,9,12.83,13.33,0.85,1.85
Jan 31 2015,Schalke 04,Hannover 96,2.00,0.92,10,11,16.26,7.55,2.19,0.59
Jan 31 2015,Bayer Leverkusen,Borussia Dortmund,0.34,0.45,6,0,2.41,5.49,1.11,1.37
Feb 01 2015,Werder Bremen,Hertha Berlin,0.84,0.10,7,2,4.41,6.93,2.06,0.54
Feb 01 2015,Augsburg,Hoffenheim,2.39,0.61,2,10,4.96,8.42,2.59,0.29
Feb 03 2015,Hannover 96,Mainz 05,1.71,1.19,8,8,12.55,16.05,1.79,0.95
Feb 03 2015,Eintracht Frankfurt,Wolfsburg,0.95,1.86,6,7,6.24,8.36,0.68,2.09
Feb 03 2015,Bayern Munich,Schalke 04,0.38,0.99,5,1,9.95,12.67,0.59,2.11
Feb 03 2015,Borussia M.Gladbach,Freiburg,1.29,0.88,5,9,15.62,9.71,1.69,1.00
Feb 04 2015,Borussia Dortmund,Augsburg,0.94,1.05,16,2,8.79,10.61,1.24,1.43
Feb 04 2015,FC Cologne,VfB Stuttgart,0.31,0.62,5,2,16.04,12.64,0.92,1.62
Feb 04 2015,Paderborn,Hamburger SV,0.81,2.21,8,5,4.50,9.84,0.37,2.45
Feb 04 2015,Hertha Berlin,Bayer Leverkusen,0.53,1.07,0,3,7.67,6.52,0.80,1.85
Feb 04 2015,Hoffenheim,Werder Bremen,1.33,0.58,8,5,3.89,8.05,2.03,0.69
Feb 06 2015,Schalke 04,Borussia M.Gladbach,1.03,0.33,2,3,11.29,6.00,2.10,0.58
Feb 07 2015,FC Cologne,Paderborn,1.04,0.58,5,1,6.93,12.00,1.75,0.90
Feb 07 2015,Freiburg,Borussia Dortmund,0.16,2.15,6,11,6.00,5.26,0.15,2.75
Feb 07 2015,VfB Stuttgart,Bayern Munich,0.13,0.10,1,1,25.91,4.17,1.15,1.06
Feb 07 2015,Mainz 05,Hertha Berlin,1.52,1.77,9,2,7.05,15.52,1.11,1.60
Feb 07 2015,Wolfsburg,Hoffenheim,1.37,1.40,4,6,6.46,7.93,1.35,1.36
Feb 07 2015,Hamburger SV,Hannover 96,0.67,2.25,2,7,10.95,6.32,0.32,2.53
Feb 08 2015,Werder Bremen,Bayer Leverkusen,0.89,1.75,3,17,6.74,3.19,0.57,2.16
Feb 08 2015,Augsburg,Eintracht Frankfurt,1.76,2.01,5,6,7.28,4.59,1.15,1.56
Feb 13 2015,Borussia Dortmund,Mainz 05,2.75,0.69,8,2,7.30,22.07,2.71,0.19
Feb 14 2015,Borussia M.Gladbach,FC Cologne,0.80,0.39,8,2,7.53,32.64,1.69,0.91
Feb 14 2015,Bayer Leverkusen,Wolfsburg,1.99,2.09,7,4,4.89,5.92,1.31,1.44
Feb 14 2015,Hoffenheim,VfB Stuttgart,1.20,0.19,6,0,5.42,4.91,2.26,0.45
Feb 14 2015,Werder Bremen,Augsburg,2.63,0.59,8,1,5.73,5.80,2.70,0.20
Feb 14 2015,Bayern Munich,Hamburger SV,4.18,0.23,11,0,7.46,25.55,2.99,0.01
Feb 14 2015,Eintracht Frankfurt,Schalke 04,1.12,1.10,7,3,8.59,8.72,1.35,1.33
Feb 15 2015,Hertha Berlin,Freiburg,0.49,0.93,3,2,4.95,10.81,0.85,1.79
Feb 15 2015,Hannover 96,Paderborn,0.86,0.98,6,1,5.93,16.96,1.23,1.41
Feb 20 2015,VfB Stuttgart,Borussia Dortmund,1.56,1.56,1,6,14.70,6.98,1.37,1.33
Feb 21 2015,Freiburg,Hoffenheim,0.60,0.57,2,6,11.17,12.92,1.34,1.24
Feb 21 2015,Augsburg,Bayer Leverkusen,1.93,1.93,10,8,3.49,6.87,1.39,1.37
Feb 21 2015,Mainz 05,Eintracht Frankfurt,1.30,0.85,5,8,13.76,5.11,1.73,0.95
Feb 21 2015,Schalke 04,Werder Bremen,1.19,1.38,6,4,5.50,6.11,1.17,1.54
Feb 21 2015,Paderborn,Bayern Munich,0.38,3.13,1,15,33.53,4.18,0.06,2.91
Feb 21 2015,FC Cologne,Hannover 96,1.54,0.98,5,2,12.30,7.35,1.80,0.92
Feb 22 2015,Hamburger SV,Borussia M.Gladbach,1.04,0.66,8,8,16.05,10.43,1.68,0.99
Feb 22 2015,Wolfsburg,Hertha Berlin,1.78,0.56,6,1,9.48,19.20,2.32,0.46
Feb 27 2015,Bayern Munich,FC Cologne,3.92,0.49,19,1,6.11,44.30,2.95,0.03
Feb 28 2015,Borussia Dortmund,Schalke 04,4.81,0.04,14,1,5.16,20.88,3.00,0.00
Feb 28 2015,Bayer Leverkusen,Freiburg,0.57,0.27,8,3,6.29,12.45,1.57,0.94
Feb 28 2015,Hoffenheim,Mainz 05,2.25,2.17,7,7,9.17,8.97,1.45,1.32
Feb 28 2015,Hannover 96,VfB Stuttgart,1.54,0.74,3,2,4.76,8.27,2.03,0.71
Feb 28 2015,Hertha Berlin,Augsburg,1.27,0.66,4,2,11.88,8.65,1.90,0.80
Feb 28 2015,Eintracht Frankfurt,Hamburger SV,2.21,1.43,7,1,4.89,9.19,2.00,0.76
Mar 01 2015,Borussia M.Gladbach,Paderborn,1.44,0.75,9,2,12.14,13.35,1.94,0.78
Mar 01 2015,Werder Bremen,Wolfsburg,1.44,2.55,5,8,7.76,7.76,0.62,2.17
Mar 06 2015,VfB Stuttgart,Hertha Berlin,1.08,0.68,3,3,2.47,14.85,1.71,0.94
Mar 07 2015,Hamburger SV,Borussia Dortmund,0.74,0.51,2,7,10.73,2.71,1.62,0.98
Mar 07 2015,Augsburg,Wolfsburg,1.44,0.39,0,1,8.36,8.17,2.47,0.33
Mar 07 2015,Hannover 96,Bayern Munich,0.21,1.34,0,3,40.45,4.10,0.29,2.51
Mar 07 2015,Freiburg,Werder Bremen,0.43,0.65,11,6,5.14,4.62,1.06,1.49
Mar 07 2015,Schalke 04,Hoffenheim,2.12,1.95,8,7,4.87,7.13,1.52,1.24
Mar 07 2015,Mainz 05,Borussia M.Gladbach,1.21,1.45,5,3,10.29,7.92,1.12,1.60
Mar 08 2015,FC Cologne,Eintracht Frankfurt,1.75,1.89,3,9,9.67,4.58,1.19,1.51
Mar 08 2015,Paderborn,Bayer Leverkusen,0.76,1.18,6,10,9.48,2.85,0.94,1.75
Mar 13 2015,Bayer Leverkusen,VfB Stuttgart,1.60,1.04,4,3,4.22,8.42,1.81,0.92
Mar 14 2015,Augsburg,Mainz 05,0.95,1.63,4,6,3.43,9.16,0.84,1.90
Mar 14 2015,Hoffenheim,Hamburger SV,2.67,0.44,11,3,3.65,15.05,2.78,0.14
Mar 14 2015,Hertha Berlin,Schalke 04,1.64,1.99,3,4,12.83,4.33,1.05,1.64
Mar 14 2015,Werder Bremen,Bayern Munich,0.29,2.18,3,10,12.29,4.73,0.13,2.78
Mar 14 2015,Eintracht Frankfurt,Paderborn,1.73,0.63,3,1,5.00,12.50,2.24,0.53
Mar 14 2015,Borussia Dortmund,FC Cologne,0.54,0.94,10,4,5.29,43.56,0.92,1.73
Mar 15 2015,Wolfsburg,Freiburg,2.69,1.21,14,11,10.46,11.70,2.41,0.43
Mar 15 2015,Borussia M.Gladbach,Hannover 96,3.31,0.40,12,3,8.06,15.08,2.92,0.05
Mar 20 2015,Hamburger SV,Hertha Berlin,0.48,0.71,6,3,4.09,8.36,1.04,1.54
Mar 21 2015,FC Cologne,Werder Bremen,1.77,0.57,8,4,6.10,6.83,2.38,0.43
Mar 21 2015,Paderborn,Hoffenheim,1.07,0.27,7,3,7.14,6.78,2.07,0.59
Mar 21 2015,Hannover 96,Borussia Dortmund,0.93,2.31,4,10,8.00,9.17,0.46,2.37
Mar 21 2015,Freiburg,Augsburg,2.10,1.11,15,2,9.52,5.21,2.14,0.65
Mar 21 2015,VfB Stuttgart,Eintracht Frankfurt,2.22,1.35,8,5,5.47,6.13,2.12,0.65
Mar 21 2015,Schalke 04,Bayer Leverkusen,1.80,1.32,5,7,5.68,7.14,1.75,0.99
Mar 22 2015,Mainz 05,Wolfsburg,1.03,0.81,10,2,15.00,4.41,1.48,1.19
Mar 22 2015,Bayern Munich,Borussia M.Gladbach,0.71,0.60,13,3,7.18,47.30,1.37,1.23
Apr 04 2015,Werder Bremen,Mainz 05,0.72,0.92,2,7,5.49,8.58,1.17,1.48
Apr 04 2015,Eintracht Frankfurt,Hannover 96,1.04,1.33,4,7,13.43,4.00,1.06,1.64
Apr 04 2015,Freiburg,FC Cologne,0.50,0.84,7,15,12.13,8.21,0.98,1.64
Apr 04 2015,Hoffenheim,Borussia M.Gladbach,2.32,3.20,7,6,9.77,12.84,0.82,1.98
Apr 04 2015,Bayer Leverkusen,Hamburger SV,3.82,0.35,9,2,5.58,10.00,2.96,0.03
Apr 04 2015,Wolfsburg,VfB Stuttgart,3.74,1.92,5,1,8.59,11.33,2.43,0.43
Apr 04 2015,Borussia Dortmund,Bayern Munich,0.52,0.76,8,3,6.88,7.62,1.01,1.60
Apr 05 2015,Augsburg,Schalke 04,0.93,0.93,4,7,4.75,5.17,1.34,1.34
Apr 05 2015,Hertha Berlin,Paderborn,1.84,0.56,4,3,8.45,11.75,2.40,0.42
Apr 10 2015,Hannover 96,Hertha Berlin,1.68,0.36,2,6,7.85,11.85,2.62,0.23
