date,home_team,away_team,fthg,ftag,ftr,hs,as,hst,ast,hf,af,hc,ac,hy,ay,hr,ar,xg_home,xg_away,deep_home,deep_away,ppda_home,ppda_away,xpts_home,xpts_away
2014-12-06,Hannover 96,Wolfsburg,1,3,A,16,15,6,7,14,18,11,9,2,1,0,0,1.68,1.86,9,3,7.27,8.78,1.25,1.5
2014-12-06,M'gladbach,Hertha BSC,3,2,H,13,11,10,3,17,17,4,3,2,3,0,0,1.83,1.42,6,4,10.78,13.33,1.71,0.98
2014-12-06,Paderborn,Freiburg,1,1,D,24,4,8,2,15,26,6,1,2,4,0,0,1.38,0.88,10,4,5.04,10.6,1.72,0.95
2014-12-06,VfB Stuttgart,Schalke 04,0,4,A,13,13,3,6,14,13,4,6,0,0,0,0,0.68,1.7,7,5,9.69,13.71,0.57,2.2
2014-12-07,Eintracht Frankfurt,Werder Bremen,5,2,H,22,10,13,4,17,12,9,2,2,2,0,0,3.83,1.44,8,7,4.73,7.75,2.7,0.21
2014-12-07,Hamburger SV,Mainz 05,2,1,H,18,15,8,4,19,18,6,6,1,0,0,0,2.03,1.02,8,5,5.78,3.23,2.13,0.63
2014-12-12,Hoffenheim,Eintracht Frankfurt,3,2,H,20,19,8,7,16,19,4,6,3,2,0,0,3.33,2.43,10,12,6.19,5.79,1.99,0.81
2014-12-13,Freiburg,Hamburger SV,0,0,D,10,10,4,1,19,9,4,2,2,2,0,0,1.46,0.52,7,4,7.56,7.44,2.26,0.51
2014-12-13,Hertha BSC,Dortmund,1,0,H,5,18,3,5,9,9,2,9,2,1,0,0,0.76,0.84,2,8,27.73,4.68,1.25,1.39
2014-12-13,Mainz 05,VfB Stuttgart,1,1,D,22,8,6,2,19,15,4,5,2,2,0,0,1.35,0.55,4,1,4.24,9.0,2.03,0.69
2014-12-13,Schalke 04,1.FC Köln,1,2,A,15,6,3,5,13,7,2,1,1,1,0,0,1.21,1.14,8,2,9.82,31.54,1.34,1.3
2014-12-13,Werder Bremen,Hannover 96,3,3,D,19,12,7,7,19,25,10,10,3,3,0,0,1.85,1.54,7,5,8.38,6.12,1.6,1.14
2014-12-13,Augsburg,Bayern Munich,0,4,A,6,26,3,9,17,13,1,7,0,0,0,0,0.29,2.22,0,13,14.91,5.65,0.2,2.67
2014-12-14,Leverkusen,M'gladbach,1,1,D,22,7,5,3,17,12,5,6,4,1,0,0,1.01,1.16,13,2,6.45,12.16,1.19,1.5
2014-12-14,Wolfsburg,Paderborn,1,1,D,21,6,8,3,15,17,11,1,4,2,0,0,3.22,1.0,7,2,3.94,10.37,2.78,0.14
2014-12-16,Hannover 96,Augsburg,2,0,H,10,10,3,5,18,17,8,5,0,3,0,0,1.34,0.69,6,0,8.64,7.38,1.98,0.72
2014-12-16,Bayern Munich,Freiburg,2,0,H,31,2,13,0,5,3,10,1,1,1,0,0,2.98,0.05,32,1,3.85,91.8,2.98,0.01
